rownames(network_combined.df)	Nodes	Module	Betweennes	Degree	Centrality
122	mhp114	1	436.552890845102	37	HB
123	mhp119	1	112.944837085332	22	nHnB
124	mhp122	1	194.62967704466	23	nHnB
125	mhp124	1	0	13	nHnB
126	mhp126	1	333.619758452314	14	nHB
127	mhp127	7	253.455023530625	40	HnB
128	mhp130	1	404.301379019584	29	HB
129	mhp131	3	0	5	nHnB
130	mhp132	3	176.484659448433	12	nHnB
131	mhp136	1	9.41101980021352	5	nHnB
132	mhp150	8	163.778083793796	6	nHnB
133	mhp151	8	0	5	nHnB
134	mhp164	3	2404.85373419788	21	nHB
135	mhp171	7	120.992864127109	56	HnB
136	mhp173	1	16.6308838449461	9	nHnB
137	mhp178	1	0	8	nHnB
138	mhp179	1	512.69877433758	42	HB
139	mhp215	1	703.764610841007	48	HB
140	mhp216	1	482.397167525845	22	nHB
141	mhp219	1	0	6	nHnB
142	mhp220	1	2237.81445167701	60	HB
143	mhp223	1	0	5	nHnB
144	mhp227	1	317.927034432596	35	HB
145	mhp228	1	178.144060095544	30	HnB
146	mhp234	1	5444.67250136626	115	HB
147	mhp235	1	52.4400874010094	12	nHnB
148	mhp236	1	1.77621828696433	10	nHnB
149	mhp237	1	1.77621828696433	10	nHnB
150	mhp240	1	5.77199797105393	10	nHnB
151	mhp244	1	6.93607369529458	7	nHnB
152	mhp246	3	1493.09441953211	24	nHB
153	mhp254	7	546.731665509207	31	HB
154	mhp267	3	217.20069653298	15	nHnB
155	mhp287	1	1.08902213941112	5	nHnB
156	mhp290	16	0	3	nHnB
157	mhp291	16	0	3	nHnB
158	mhp293	16	0	3	nHnB
159	mhp294	7	359.418892323523	51	HB
160	mhp306	1	521.433341033132	41	HB
161	mhp316	3	266.774145706675	13	nHB
162	mhp324	2	679.947677872281	12	nHB
163	mhp325	2	314.249492760873	16	nHB
164	mhp331	1	267.478546543718	20	nHB
165	mhp366	19	0	2	nHnB
166	mhp367	19	0	2	nHnB
167	mhp368	22	1706.95394335945	11	nHB
168	mhp375	1	1225.60988644633	33	HB
169	mhp376	1	263.657686810259	29	HB
170	mhp379	1	0.866194466194466	3	nHnB
171	mhp392	9	58.4549748263212	5	nHnB
172	mhp393	9	16.8263051763052	4	nHnB
173	mhp394	1	818.253971973029	18	nHB
174	mhp408	1	279.910188894472	24	nHB
175	mhp409	1	142.784439915271	24	nHnB
176	mhp417	13	0	6	nHnB
177	mhp419	13	0	6	nHnB
178	mhp420	13	0	6	nHnB
179	mhp423	3	477.498893033246	21	nHB
180	mhp432	2	0	3	nHnB
181	mhp434	7	2212.70284328738	61	HB
182	mhp451	1	13.485217107541	7	nHnB
183	mhp452	3	934.407360602905	26	nHB
184	mhp464	2	0	2	nHnB
185	mhp472	1	347.395718023996	37	HB
186	mhp473	1	613.108785010073	20	nHB
187	mhp475	2	48.2040610600567	7	nHnB
188	mhp478	11	0	5	nHnB
189	mhp479	11	0	5	nHnB
190	mhp480	11	0	5	nHnB
191	mhp481	11	0	5	nHnB
192	mhp486	1	45.1748314571124	13	nHnB
193	mhp490	2	2611.86224169862	44	HB
194	mhp491	2	0	2	nHnB
195	mhp496	4	9.56929028508482	8	nHnB
196	mhp502	4	0	7	nHnB
197	mhp519	23	0	1	nHnB
198	mhp521	12	0	3	nHnB
199	mhp522	12	0	3	nHnB
200	mhp523	12	0	3	nHnB
201	mhp542	2	0.584499738110321	3	nHnB
202	mhp553	1	0	5	nHnB
203	mhp554	1	851.747760158765	41	HB
204	mhp555	7	538.810446533923	31	HB
205	mhp572	6	53.4083938215354	7	nHnB
206	mhp573	6	153.707010810658	8	nHnB
207	mhp574	6	0	6	nHnB
208	mhp575	6	0	6	nHnB
209	mhp576	6	0	6	nHnB
210	mhp586	1	646.649115711591	34	HB
211	mhp589	2	120.761654976786	23	nHnB
212	mhp594	1	872.620156375246	40	HB
213	mhp602	1	118.695168707349	22	nHnB
214	mhp604	1	0	6	nHnB
215	mhp607	5	0	5	nHnB
216	mhp610	5	0	5	nHnB
217	mhp611	1	8121.76287380798	131	HB
218	mhp614	1	22.3715144409527	10	nHnB
219	mhp621	1	49.9333087258209	10	nHnB
220	mhp629	2	215.881895442696	13	nHnB
221	mhp630	24	0	1	nHnB
222	mhp631	27	828.25	3	nHB
223	mhp633	1	102.89283231439	16	nHnB
224	mhp634	1	306.249395782952	31	HB
225	mhp639	25	828.25	3	nHB
226	mhp640	29	0	1	nHnB
227	mhp644	1	101.445540024964	14	nHnB
228	mhp646	3	851.014998099606	10	nHB
229	mhp647	30	0	1	nHnB
230	mhp648	1	425.475599840955	20	nHB
231	mhp649	1	168.799953468534	13	nHnB
232	mhp650	26	0	1	nHnB
233	mhp652	1	735.42638918282	38	HB
234	mhp653	1	218.030721578359	34	HnB
235	mhp654	1	184.592407661057	31	HnB
236	mhp655	1	197.26953192495	23	nHnB
237	mhp659	1	0.94100568126867	12	nHnB
238	mhp660	1	149.332910212968	30	HnB
239	mhp662	1	171.112300517163	23	nHnB
240	mhp666	1	60.3491502075764	22	nHnB
241	mhp668	1	1.01383413942976	11	nHnB
242	mhp670	1	735.275198575701	47	HB
243	mhp674	1	176.238333529243	30	HnB
244	mhp681	1	5.15060076977773	4	nHnB
245	mhp682	1	0	3	nHnB
246	mhp691	1	131.090216995414	12	nHnB
247	mhp692	3	374.34401927601	20	nHB
248	mhp693	1	0	4	nHnB
249	mhp695	3	0	2	nHnB
250	mhp696	3	296.86023476827	13	nHB
251	mhp697	7	2687.85774361859	72	HB
252	mmsA	2	1103.76397720649	22	nHB
253	mtlF	2	0	2	nHnB
254	nadD	1	5536.47569298978	112	HB
255	nadE	1	117.334052751317	22	nHnB
256	nagA	2	53.3893404913486	9	nHnB
257	nagB	2	84.8084221554379	13	nHnB
258	nagE	2	429.331023045878	19	nHB
259	nfo	1	24.5999781049898	17	nHnB
260	nifS	1	136.245512435342	18	nHnB
261	nrdE	1	362.870970579645	13	nHB
262	nrdF	1	160.767411894541	7	nHnB
263	nrdI	1	3.27510355101158	3	nHnB
264	nusA	7	847.24372602547	83	HB
265	nusG	7	282.843750895844	70	HB
266	obg	1	1464.07716592992	70	HB
267	oppB	4	0	8	nHnB
268	OppB	4	521.748842902265	13	nHB
269	oppC	4	0	8	nHnB
270	OppC	4	142.465282024307	12	nHnB
271	oppD	4	0	8	nHnB
272	OppD	4	319.220577938022	13	nHB
273	oppF	4	0	8	nHnB
274	OppF	4	788.391920556893	14	nHB
275	p110	10	0	3	nHnB
276	p115	1	638.600836270769	36	HB
277	P97	3	0	5	nHnB
278	pacL	1	112.300929367491	12	nHnB
279	parC	1	15.0302420865523	10	nHnB
280	parE	1	43.8808690138835	13	nHnB
281	pcrA	1	1251.08641085499	35	HB
282	pdhA	2	232.916395378963	22	nHnB
283	pdhB	2	325.994871196469	26	nHB
284	pdhD	2	241.570957436518	20	nHnB
285	PdhD	2	319.677086003346	21	nHB
286	pepA	2	1442.98086131164	21	nHB
287	pepF	28	3421.31201633961	8	nHB
288	pepP	1	1226.46025005658	38	HB
289	pfkA	2	339.599786150587	24	nHB
290	pgiB	2	810.935248811984	43	HB
291	pgk	1	562.454744810557	38	HB
292	pgm	1	259.506281089359	28	nHnB
293	pheS	1	233.753003637266	36	HnB
294	pheT	1	11295.1771520992	174	HB
295	pmi	2	80.8493365346296	10	nHnB
296	polA	1	650.270927901336	38	HB
297	polC	1	169.766037715318	24	nHnB
298	potE	3	105.521297487396	13	nHnB
299	ppa	1	161.524606506105	22	nHnB
300	pr1	1	232.843157975087	17	nHnB
301	Pr1	1	29.6925802242545	13	nHnB
302	pr2	1	152.504864220399	17	nHnB
303	prfA	7	1379.22176183009	91	HB
304	proS	7	166.036770613876	47	HnB
305	prsA	1	1101.56551798606	44	HB
306	psgA	1	307.683646019562	29	HB
307	pta	1	233.987114926377	18	nHnB
308	pth	1	322.921002382937	35	HB
309	ptsH	2	2257.40722443021	29	HB
310	pyk	7	1771.03813080632	72	HB
311	pyrG	1	268.912883417637	38	HB
312	pyrH	1	271.767823679817	33	HB
313	rbfA	1	0	6	nHnB
314	recA	1	229.084799993748	39	HnB
315	recR	1	415.311986675755	34	HB
316	ribF	1	353.83035491603	35	HB
317	rlmH	1	343.086732362042	34	HB
318	rnc	7	901.158807096763	88	HB
319	rnhB	1	27.1966223016613	7	nHnB
320	rnr	1	994.124071191143	66	HB
321	rpe	2	61.6017441358416	15	nHnB
322	Rpe	20	2843.99226464134	16	nHB
323	rpl14	7	269.770685824946	88	HB
324	rpl15	7	400.51265673581	101	HB
325	rpl16	7	163.755978632775	90	HnB
326	rpl17	7	282.122673098854	94	HB
327	rpl18	7	203.261957413464	91	HnB
328	rpl2	7	219.826897751972	95	HnB
329	rpl20	7	213.899218789328	84	HnB
330	rpl21	7	766.269142336134	99	HB
331	rpl22	7	225.871098450098	95	HnB
332	rpl23	7	102.804063088751	86	HnB
333	rpl24	7	249.009413826462	94	HnB
334	rpl27	7	654.63094655186	95	HB
335	rpl28	7	391.510999306818	86	HB
336	rpl29	7	102.647490674942	85	HnB
337	rpl3	7	330.248429752922	98	HB
338	rpl35	7	141.0705159161	79	HnB
339	rpl4	7	361.817529327202	100	HB
340	rpl5	7	254.885582266639	94	HnB
341	rpl6	7	189.266760336479	89	HnB
342	rplA	7	149.63671747946	86	HnB
343	rplI	7	1294.57454166121	109	HB
344	rplJ	7	218.508356192697	87	HnB
345	rplK	7	258.957044440727	92	HnB
346	rplL	7	130.006671862561	72	HnB
347	rplM	7	633.294008011852	105	HB
348	rplS	7	426.031054059141	90	HB
349	rpmE	7	1478.76195134633	91	HB
350	rpmG	7	1120.27632995208	88	HB
351	rpmH	7	233.911679163665	79	HnB
352	rpoA	7	589.513923852224	92	HB
353	rpoB	7	437.111808240629	87	HB
354	rpoC	7	506.213639573575	80	HB
355	rpoD	1	461.320846898736	48	HB
356	rps10	7	240.838714934495	92	HnB
357	rps11	7	520.995702070658	97	HB
358	rps13	7	415.944916418954	92	HB
359	rps14	7	227.588896304352	88	HnB
360	rps15	7	1284.92407984098	107	HB
361	rps17	7	134.637658518822	82	HnB
362	rps18	7	259.925036757556	85	HnB
363	rps19	7	229.768178803859	88	HnB
364	rps3	7	337.77588145407	88	HB
365	rps5	7	513.628597771582	103	HB
366	rps8	7	164.731666321784	86	HnB
367	rpsB	7	1298.7122169672	121	HB
368	rpsD	7	686.996631711193	98	HB
369	rpsF	7	345.984364346759	91	HB
370	rpsG	7	316.86892708132	93	HB
371	rpsI	7	429.00706562855	94	HB
372	rpsL	7	147.35156676692	84	HnB
373	rpsP	7	583.457653549892	95	HB
374	rpsT	7	1092.52273682422	96	HB
375	rsgA	7	159.379126942	41	HnB
376	rsmE	1	705.183193467338	42	HB
377	rsmI	1	604.677829448587	41	HB
378	ruvA	1	896.490764699168	31	HB
379	ruvB	1	637.881075415273	27	nHB
380	secA	7	576.514439020671	53	HB
381	secD	1	8636.98298830602	113	HB
382	secE	1	35.8597860813742	16	nHnB
383	secY	7	167.057635669601	76	HnB
384	serS	1	1430.31550046022	54	HB
385	SgaT	6	53.4083938215354	7	nHnB
386	smpB	7	1094.77107261338	86	HB
387	spoU	1	198.747388916857	26	nHnB
388	SpoU	1	1883.56234374141	30	HB
389	tdk	1	439.202334415916	33	HB
390	thdF	1	328.854446315596	34	HB
391	thrS	7	696.953676875164	54	HB
392	tig	7	618.055288365998	67	HB
393	tilS	1	545.11484388098	42	HB
394	tktA	2	1188.72275086993	45	HB
395	tmk	1	885.820237070654	42	HB
396	topA	1	174.02012313425	37	HnB
397	tpiA	1	544.110501370538	40	HB
398	trmB	1	801.330475258196	27	nHB
399	trmD	7	558.954158037322	77	HB
400	trmU	1	463.104728713422	34	HB
401	trpS	1	891.0120604284	34	HB
402	trsE	3	21.6002408856349	6	nHnB
403	truB	1	725.582245491276	56	HB
404	trxB	1	148.515335028973	25	nHnB
405	tsf	7	708.472166039514	96	HB
406	tuf	7	247.416377237178	78	HnB
407	tyrS	1	255.18710374553	38	HnB
408	ung	1	431.171006065507	31	HB
409	upp	1	510.345362237403	29	HB
410	ushA	1	879.887657682012	16	nHB
411	uvrA	1	90.0597667270883	21	nHnB
412	uvrB	1	514.370429457838	35	HB
413	uvrC	1	444.40113690742	28	nHB
414	valS	1	630.369318278925	33	HB
415	ybeY	1	788.50210884601	47	HB
416	yx1	1	3654.75298591715	47	HB
