rownames(network_combined.df)	Nodes	Module	Betweennes	Degree	Centrality
1	ABC	1	213.420874949162	16	nHnB
2	aceF	2	169.032978020404	17	nHnB
3	ackA	1	10.3880126515676	6	nHnB
4	acpD	3	32.3607716444673	10	nHnB
5	adk	7	878.053382007773	67	HB
6	alaS	1	1013.61389342706	52	HB
7	aprE	3	2683.63779121552	21	nHB
8	apt	1	4113.84980075311	44	HB
9	araD	2	97.5136998649137	9	nHnB
10	argS	1	460.725406230004	40	HB
11	asnS	1	387.62498986327	19	nHB
12	AsnS	10	1066.17123030527	18	nHB
13	aspS	1	438.343308654263	41	HB
14	atpA	7	321.261263838804	61	HB
15	AtpA	7	2368.80575699517	63	HB
16	atpB	1	209.074302333907	29	nHnB
17	atpD	7	98.4227531744274	41	HnB
18	AtpD	7	1259.69318513746	41	HB
19	atpE	1	294.257646688513	34	HB
20	atpF	7	250.096979581508	64	HnB
21	atpG	7	466.274194766267	60	HB
22	atpH	7	282.696812068267	62	HB
23	azoR	3	3.74868464739045	7	nHnB
24	baiH	2	0	3	nHnB
25	cdd	1	570.422507014576	31	HB
26	cdsA	1	138.985907223505	25	nHnB
27	celM	1	357.050861125592	7	nHB
28	clpB	1	32.8488442446254	16	nHnB
29	cls	1	374.549939410621	25	nHB
30	cmk	1	621.96866771862	42	HB
31	cysS	1	1222.24501338566	62	HB
32	deoA	1	74.1423251107044	19	nHnB
33	DeoB	1	217.217430506024	21	nHnB
34	deoC	2	1044.88414152059	39	HB
35	deoD	1	124.299796016372	16	nHnB
36	der	7	310.724675985848	56	HB
37	dnaA	1	40.9722070071958	15	nHnB
38	dnaC	1	610.512144125671	49	HB
39	dnaE	1	792.66519413552	43	HB
40	dnaG	1	116.069309935282	35	HnB
41	dnaJ	1	896.915781156906	47	HB
42	dnaK	1	1348.96644000308	57	HB
43	dnaN	1	873.371314086908	45	HB
44	dnaX	1	156.18631589869	26	nHnB
45	ecfA1	1	65.2682659097341	19	nHnB
46	ecfA2	1	508.632443188762	25	nHB
47	efp	7	1287.19646159766	86	HB
48	engB	1	249.953915615725	29	nHnB
49	eno	1	1744.13072514141	59	HB
50	era	1	772.792567426233	50	HB
51	fba	2	404.220949284679	31	HB
52	ffh	7	803.649143381078	80	HB
53	fpg	1	55.5874704161814	19	nHnB
54	frr	7	715.364902897744	84	HB
55	ftsH	1	1205.44756719973	53	HB
56	ftsY	7	1402.89408973964	74	HB
57	fusA	7	639.992512344174	98	HB
58	gap	1	367.427530408819	40	HB
59	gatA	1	1937.66777409353	30	HB
60	gatB	1	202.234218267913	28	nHnB
61	gcp	1	321.93491316522	40	HB
62	gidA	1	370.852840967947	32	HB
63	gidB	1	175.226017405035	25	nHnB
64	glcK	2	127.470190598965	16	nHnB
65	glpD	5	215.402848157046	8	nHnB
66	glpF	5	2.40525429735956	3	nHnB
67	glpK	1	1097.9021674637	23	nHB
68	glpQ	5	133.054999064321	6	nHnB
69	gltX	7	1882.70284033167	88	HB
70	glyA	1	312.78958632076	38	HB
71	glyS	1	78.5316949176448	27	nHnB
72	gmk	1	828.419297518839	47	HB
73	greA	1	571.664711891742	34	HB
74	grpE	1	257.318905715568	30	HnB
75	gtp1	1	381.31319718098	41	HB
76	gtsA	9	408.708412880473	8	nHB
77	gyrA	1	12.1972939974576	10	nHnB
78	gyrB	1	24.7317400182061	10	nHnB
79	hemK	1	529.81162848191	39	HB
80	hisS	1	331.315030933896	38	HB
81	hlyA	1	367.109789462705	34	HB
82	hlyC	1	976.254801906625	39	HB
83	hpt	1	1033.11598384545	46	HB
84	hrcA	1	68.5920150644736	19	nHnB
85	IctD	2	396.223723714947	25	nHB
86	ileS	1	309.797717415145	35	HB
87	infA	7	67.7494075340129	57	HnB
88	infB	7	1710.46210811645	96	HB
89	infC	7	65.1346661166295	44	HnB
90	iolC	2	849.961949041667	18	nHB
91	iolD	8	0	5	nHnB
92	iolE	8	351.060730029355	9	nHB
93	ksgA	1	1459.48263969202	73	HB
94	ldh	2	193.760399645585	24	nHnB
95	lepA	7	0	2	nHnB
96	LepA	7	1799.12766785598	85	HB
97	leuS	1	1034.13278489091	63	HB
98	lgt	1	235.540357204768	30	HnB
99	licA	3	136.725084210416	15	nHnB
100	lig	1	858.525305792636	43	HB
101	lip3	21	74.6557251053888	2	nHnB
102	lon	1	252.609469466504	19	nHnB
103	lplA	1	222.7285794918	21	nHnB
104	LplA	2	71.9852296135554	10	nHnB
105	lspA	1	16.6268330700526	8	nHnB
106	lysS	1	916.366676392947	55	HB
107	map	7	323.354663213792	66	HB
108	metG	1	307.199441430038	36	HB
109	metK	1	442.111078795653	39	HB
110	mgtE	1	79.8834804321388	15	nHnB
111	mhp005	1	1.22142930899312	6	nHnB
112	mhp006	1	1.22142930899312	6	nHnB
113	mhp009	1	5632.74177760261	123	HB
114	mhp013	1	0.432051709336969	6	nHnB
115	mhp028	1	324.836795112663	30	HB
116	mhp047	1	234.730123529605	29	nHnB
117	mhp064	1	131.890044423556	27	nHnB
118	mhp067	1	2430.47903659685	81	HB
119	mhp077	1	258.184441390489	24	nHnB
120	mhp103	2	13.9133749038183	5	nHnB
121	mhp109	1	1.00081684946341	4	nHnB
