#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AtpA	rpl23	295358.mhp477	295358.mhp189	0.096	0	0	0	0.403	0.168	0	0	0.511
AtpA	rpl2	295358.mhp477	295358.mhp190	0.096	0	0	0	0.542	0.168	0	0	0.625
AtpA	rps19	295358.mhp477	295358.mhp191	0.096	0	0	0	0.488	0.212	0	0	0.603
AtpA	rpl22	295358.mhp477	295358.mhp193	0.096	0	0	0	0.641	0.300	0	0	0.752
AtpA	rps3	295358.mhp477	295358.mhp194	0.097	0	0	0	0.560	0.125	0	0	0.621
AtpA	rpl16	295358.mhp477	295358.mhp195	0.097	0	0	0	0.508	0.203	0	0	0.614
AtpA	rpl29	295358.mhp477	295358.mhp196	0.097	0	0	0	0.458	0	0	0	0.489
AtpA	rpl5	295358.mhp477	295358.mhp200	0.097	0	0	0	0.531	0	0	0	0.558
AtpA	rps14	295358.mhp477	295358.mhp201	0.097	0	0	0	0.455	0.168	0	0	0.554
AtpA	rps8	295358.mhp477	295358.mhp202	0.103	0	0	0	0.487	0.125	0	0	0.562
AtpA	rpl6	295358.mhp477	295358.mhp203	0.114	0	0	0	0.465	0	0	0	0.505
AtpA	rpl18	295358.mhp477	295358.mhp204	0.115	0	0	0	0.688	0	0	0	0.712
AtpA	rps5	295358.mhp477	295358.mhp205	0.116	0	0	0	0.479	0.168	0	0	0.583
AtpA	rpl15	295358.mhp477	295358.mhp206	0.117	0	0	0	0.497	0.278	0	0	0.651
AtpA	secY	295358.mhp477	295358.mhp207	0.117	0	0	0	0.452	0	0	0	0.495
AtpA	adk	295358.mhp477	295358.mhp208	0.097	0	0	0	0.186	0	0.900	0	0.920
AtpA	rps13	295358.mhp477	295358.mhp211	0.121	0	0	0	0.572	0.125	0	0	0.642
AtpA	rps11	295358.mhp477	295358.mhp212	0.130	0	0	0	0.490	0	0	0	0.537
AtpA	rpoA	295358.mhp477	295358.mhp213	0.138	0	0	0	0.472	0	0	0	0.525
