#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
fba	hrcA	295358.mhp014	295358.mhp010	0.693	0	0	0	0	0	0	0	0.693
fba	grpE	295358.mhp014	295358.mhp011	0.693	0	0	0	0	0	0	0	0.693
fba	mhp013	295358.mhp014	295358.mhp013	0.803	0	0	0	0	0	0	0	0.803
fba	ksgA	295358.mhp014	295358.mhp673	0.498	0	0	0	0	0	0	0	0.497
fba	tdk	295358.mhp014	295358.mhp627	0.516	0	0	0	0	0	0	0	0.516
fba	gltX	295358.mhp014	295358.mhp241	0.519	0	0	0	0	0	0	0	0.519
fba	pyrG	295358.mhp014	295358.mhp100	0.520	0	0	0	0	0	0	0	0.520
fba	gtp1	295358.mhp014	295358.mhp304	0.523	0	0	0	0	0	0	0	0.523
fba	nadD	295358.mhp014	295358.mhp474	0.560	0	0	0	0	0	0	0	0.560
fba	pgk	295358.mhp014	295358.mhp488	0.153	0	0	0	0.727	0.127	0	0	0.780
fba	pdhA	295358.mhp014	295358.mhp265	0.097	0	0	0	0.074	0	0.800	0	0.818
fba	ldh	295358.mhp014	295358.mhp469	0.068	0	0	0	0.076	0	0.800	0	0.812
fba	mhp629	295358.mhp014	295358.mhp629	0.078	0	0	0	0.106	0	0.800	0	0.820
fba	pdhB	295358.mhp014	295358.mhp264	0.096	0	0	0	0.074	0	0.800	0	0.817
fba	mhp589	295358.mhp014	295358.mhp589	0.060	0	0.773	0.694	0	0	0.800	0	0.849
fba	pgm	295358.mhp014	295358.mhp615	0.064	0	0	0	0.072	0	0.800	0	0.811
fba	glcK	295358.mhp014	295358.mhp515	0.122	0	0	0	0.074	0	0.800	0	0.823
fba	mmsA	295358.mhp014	295358.mhp153	0.096	0	0	0	0	0	0.900	0	0.905
fba	pyk	295358.mhp014	295358.mhp255	0.153	0	0	0	0.506	0	0.800	0	0.909
fba	tktA	295358.mhp014	295358.mhp431	0.153	0	0	0	0.078	0	0.900	0	0.915
fba	iolC	295358.mhp014	295358.mhp152	0.153	0	0	0	0.100	0	0.900	0	0.917
fba	pfkA	295358.mhp014	295358.mhp269	0.153	0	0	0	0.154	0	0.900	0	0.922
fba	pgiB	295358.mhp014	295358.mhp548	0.151	0	0	0	0.404	0	0.800	0	0.889
fba	gap	295358.mhp014	295358.mhp036	0.153	0	0	0	0.356	0.126	0.900	0	0.945
fba	tpiA	295358.mhp014	295358.mhp277	0.153	0	0	0	0.699	0	0.900	0	0.972
fba	mhp490	295358.mhp014	295358.mhp490	0.560	0	0	0	0.100	0	0.900	0	0.956
ffh	ftsY	295358.mhp060	295358.mhp008	0.523	0	0.731	0.643	0.231	0.999	0.905	0	0.999
ffh	mhp009	295358.mhp060	295358.mhp009	0.534	0	0	0	0.072	0.141	0	0	0.596
ffh	mhp028	295358.mhp060	295358.mhp028	0.475	0	0	0	0.097	0	0	0	0.505
ffh	rpsB	295358.mhp060	295358.mhp058	0.625	0	0	0	0.109	0.428	0	0	0.792
ffh	tsf	295358.mhp060	295358.mhp059	0.665	0	0	0	0.169	0	0	0	0.709
ffh	gtsA	295358.mhp060	295358.mhp391	0.092	0	0.379	0	0.072	0	0	0	0.431
ffh	mhp644	295358.mhp060	295358.mhp644	0.070	0	0.354	0	0.074	0.124	0	0	0.447
ffh	thdF	295358.mhp060	295358.mhp172	0.066	0	0	0	0.075	0.433	0	0	0.467
ffh	mhp130	295358.mhp060	295358.mhp130	0.475	0	0	0	0	0	0	0	0.475
ffh	rps14	295358.mhp060	295358.mhp201	0.096	0	0	0	0.044	0.458	0	0	0.490
ffh	rsmI	295358.mhp060	295358.mhp118	0.475	0	0	0	0.072	0	0	0	0.491
ffh	hemK	295358.mhp060	295358.mhp242	0.475	0	0	0	0.073	0	0	0	0.492
ffh	mhp294	295358.mhp060	295358.mhp294	0.475	0	0	0	0.102	0	0	0	0.508
ffh	pheS	295358.mhp060	295358.mhp106	0.096	0	0.404	0	0.115	0	0	0	0.481
ffh	mhp234	295358.mhp060	295358.mhp234	0.498	0	0	0	0.094	0	0	0	0.525
ffh	prfA	295358.mhp060	295358.mhp243	0.475	0	0	0	0.112	0	0	0	0.513
ffh	mhp067	295358.mhp060	295358.mhp067	0.547	0	0	0	0.072	0	0	0	0.562
ffh	rpsL	295358.mhp060	295358.mhp085	0.097	0	0	0	0.108	0.458	0	0	0.525
ffh	rpsG	295358.mhp060	295358.mhp084	0.096	0	0	0	0.101	0.458	0	0	0.521
ffh	pr2	295358.mhp060	295358.mhp686	0.070	0	0.496	0	0.074	0.124	0	0	0.568
ffh	rps19	295358.mhp060	295358.mhp191	0.095	0	0	0	0.110	0.523	0	0	0.582
ffh	p115	295358.mhp060	295358.mhp678	0.475	0	0	0	0.111	0.232	0	0	0.610
ffh	rps10	295358.mhp060	295358.mhp186	0.095	0	0	0	0.196	0.458	0	0	0.571
ffh	rps17	295358.mhp060	295358.mhp197	0.095	0	0	0	0.105	0.523	0	0	0.579
ffh	rpmG	295358.mhp060	295358.mhp679	0.095	0	0	0	0.074	0.608	0	0	0.642
ffh	rps13	295358.mhp060	295358.mhp211	0.134	0	0	0	0.176	0.523	0	0	0.629
ffh	rplJ	295358.mhp060	295358.mhp638	0.079	0	0	0	0.109	0.586	0	0	0.630
ffh	rpsD	295358.mhp060	295358.mhp593	0.184	0	0	0	0.108	0.504	0	0	0.607
ffh	valS	295358.mhp060	295358.mhp694	0.475	0	0	0	0.113	0	0	0	0.514
ffh	rpl35	295358.mhp060	295358.mhp257	0.116	0	0	0	0.134	0.608	0	0	0.673
ffh	metK	295358.mhp060	295358.mhp450	0.099	0	0	0	0	0.416	0	0	0.451
ffh	rpl20	295358.mhp060	295358.mhp258	0.122	0	0	0	0.074	0.608	0	0	0.653
ffh	rpmH	295358.mhp060	295358.mhp699	0	0	0	0	0.104	0.608	0	0	0.633
ffh	gltX	295358.mhp060	295358.mhp241	0.137	0	0	0	0.219	0.536	0	0	0.659
ffh	rpl16	295358.mhp060	295358.mhp195	0.120	0	0	0	0.097	0.686	0	0	0.728
ffh	nfo	295358.mhp060	295358.mhp065	0.752	0	0	0	0	0	0	0	0.752
ffh	rplI	295358.mhp060	295358.mhp665	0.095	0	0	0	0.174	0.608	0	0	0.681
ffh	mhp064	295358.mhp060	295358.mhp064	0.763	0	0	0	0.094	0	0	0	0.776
ffh	rpl22	295358.mhp060	295358.mhp193	0.095	0	0	0	0.109	0.719	0	0	0.753
ffh	rpl6	295358.mhp060	295358.mhp203	0.096	0	0	0	0.115	0.732	0	0	0.766
ffh	rpl5	295358.mhp060	295358.mhp200	0.096	0	0	0	0.113	0.732	0	0	0.766
ffh	rps8	295358.mhp060	295358.mhp202	0.096	0	0	0	0.115	0.458	0	0	0.528
ffh	rpl29	295358.mhp060	295358.mhp196	0.095	0	0	0	0.114	0.732	0	0	0.766
ffh	rpmE	295358.mhp060	295358.mhp455	0.475	0	0	0	0.115	0.537	0	0	0.766
ffh	rpsP	295358.mhp060	295358.mhp094	0.475	0	0	0	0.115	0	0	0	0.515
ffh	gcp	295358.mhp060	295358.mhp656	0.202	0	0.577	0	0.106	0	0	0	0.671
ffh	secE	295358.mhp060	295358.mhp658	0	0	0	0	0	0	0.800	0	0.800
ffh	topA	295358.mhp060	295358.mhp097	0.475	0	0	0	0.074	0	0	0	0.493
ffh	infB	295358.mhp060	295358.mhp601	0.155	0	0.254	0	0.233	0	0	0	0.474
ffh	rpl24	295358.mhp060	295358.mhp199	0.096	0	0	0	0.197	0.730	0	0	0.786
ffh	rpl21	295358.mhp060	295358.mhp250	0.097	0	0	0	0.115	0.741	0	0	0.774
ffh	rpl27	295358.mhp060	295358.mhp249	0.097	0	0	0	0.187	0.741	0	0	0.793
ffh	rnc	295358.mhp060	295358.mhp412	0.475	0	0	0	0.076	0	0	0	0.494
ffh	rpl14	295358.mhp060	295358.mhp198	0.096	0	0.212	0	0.113	0.732	0	0	0.808
ffh	rplM	295358.mhp060	295358.mhp672	0.210	0	0	0	0.242	0.703	0	0	0.806
ffh	trmD	295358.mhp060	295358.mhp095	0.475	0.477	0	0	0.103	0	0	0	0.732
ffh	rpl18	295358.mhp060	295358.mhp204	0.096	0	0	0	0.090	0.732	0	0	0.760
ffh	rps5	295358.mhp060	295358.mhp205	0.096	0	0.395	0	0.115	0.458	0	0	0.702
ffh	rpl4	295358.mhp060	295358.mhp188	0.123	0	0	0	0.114	0.722	0	0	0.765
ffh	rpl3	295358.mhp060	295358.mhp187	0.095	0	0	0	0.141	0.735	0	0	0.775
ffh	rps11	295358.mhp060	295358.mhp212	0.139	0	0	0	0.114	0.473	0	0	0.562
ffh	rpl15	295358.mhp060	295358.mhp206	0.096	0	0	0	0.133	0.731	0	0	0.770
ffh	rps15	295358.mhp060	295358.mhp276	0.192	0	0	0	0.099	0.458	0	0	0.570
ffh	rpl23	295358.mhp060	295358.mhp189	0.095	0	0	0	0.109	0.748	0	0	0.779
ffh	rpl17	295358.mhp060	295358.mhp214	0.143	0	0	0	0.430	0.608	0	0	0.791
ffh	rplK	295358.mhp060	295358.mhp459	0.094	0	0.332	0	0.114	0.731	0	0	0.836
ffh	rpl2	295358.mhp060	295358.mhp190	0.095	0	0	0	0.104	0.731	0	0	0.762
ffh	rplS	295358.mhp060	295358.mhp096	0.475	0	0	0	0.115	0.608	0	0	0.801
ffh	glyS	295358.mhp060	295358.mhp061	0.873	0	0	0	0.074	0	0	0	0.877
ffh	tyrS	295358.mhp060	295358.mhp066	0.831	0	0	0	0.166	0	0	0	0.853
ffh	pheT	295358.mhp060	295358.mhp105	0.560	0	0	0	0.115	0	0	0	0.593
ffh	rpoD	295358.mhp060	295358.mhp063	0.847	0	0	0	0.108	0.170	0	0	0.876
ffh	secY	295358.mhp060	295358.mhp207	0.096	0	0	0	0.115	0.127	0.800	0	0.841
ffh	secA	295358.mhp060	295358.mhp295	0.080	0	0	0	0.149	0.125	0.800	0	0.844
ffh	mhp697	295358.mhp060	295358.mhp697	0.059	0	0	0	0.108	0.423	0.800	0	0.890
ffh	secD	295358.mhp060	295358.mhp139	0.182	0	0	0	0.147	0.125	0.800	0	0.861
fpg	ftsY	295358.mhp595	295358.mhp008	0.475	0	0	0	0	0	0	0	0.475
fpg	mhp009	295358.mhp595	295358.mhp009	0.550	0	0	0	0.083	0	0	0	0.569
fpg	pheT	295358.mhp595	295358.mhp105	0.560	0	0	0	0.075	0	0	0	0.575
fpg	rpsT	295358.mhp595	295358.mhp135	0.475	0	0	0	0	0	0	0	0.475
fpg	ybeY	295358.mhp595	295358.mhp224	0.204	0	0	0	0.073	0.410	0	0	0.526
fpg	mhp228	295358.mhp595	295358.mhp228	0.475	0	0	0	0.073	0.124	0	0	0.536
fpg	rpl28	295358.mhp595	295358.mhp259	0.475	0	0	0	0	0	0	0	0.475
fpg	rnc	295358.mhp595	295358.mhp412	0.475	0	0	0	0.073	0	0	0	0.492
fpg	yx1	295358.mhp595	295358.mhp495	0.475	0	0	0	0	0	0	0	0.475
fpg	rpsD	295358.mhp595	295358.mhp593	0.577	0	0	0	0.080	0	0	0	0.594
fpg	mhp594	295358.mhp595	295358.mhp594	0.919	0	0	0	0	0	0	0	0.919
fpg	mhp670	295358.mhp595	295358.mhp670	0.510	0	0	0	0	0	0	0	0.510
fpg	rpmG	295358.mhp595	295358.mhp679	0.475	0	0	0	0	0	0	0	0.475
fpg	prsA	295358.mhp595	295358.mhp675	0.475	0	0	0	0.056	0.125	0	0	0.528
fpg	mhp611	295358.mhp595	295358.mhp611	0.560	0	0	0	0.072	0	0	0	0.574
fpg	polA	295358.mhp595	295358.mhp598	0.523	0	0	0	0.231	0	0	0	0.617
frr	mhp009	295358.mhp551	295358.mhp009	0.560	0	0	0	0	0	0	0	0.560
frr	mhp028	295358.mhp551	295358.mhp028	0.475	0	0	0	0.077	0	0	0	0.494
frr	gatB	295358.mhp551	295358.mhp030	0.187	0	0	0	0.236	0.124	0	0	0.408
frr	recA	295358.mhp551	295358.mhp041	0.475	0	0	0	0.091	0	0	0	0.502
frr	rpsB	295358.mhp551	295358.mhp058	0.523	0	0	0	0.157	0.964	0	0	0.984
frr	tsf	295358.mhp551	295358.mhp059	0.523	0	0	0	0.387	0.381	0	0	0.803
frr	rpoD	295358.mhp551	295358.mhp063	0.117	0	0.576	0	0.107	0	0	0	0.636
frr	fusA	295358.mhp551	295358.mhp083	0.096	0	0	0	0.115	0.950	0	0	0.956
frr	rpsG	295358.mhp551	295358.mhp084	0.094	0	0	0	0.170	0.964	0.547	0	0.986
frr	rpsL	295358.mhp551	295358.mhp085	0.079	0	0	0	0.170	0.964	0.547	0	0.985
frr	rpsP	295358.mhp551	295358.mhp094	0.202	0	0	0	0.168	0.964	0.547	0	0.987
frr	rplS	295358.mhp551	295358.mhp096	0.212	0	0	0	0.248	0.950	0.547	0	0.984
frr	ribF	295358.mhp551	295358.mhp102	0.475	0	0	0	0	0	0	0	0.475
frr	truB	295358.mhp551	295358.mhp104	0.475	0	0	0	0.115	0.124	0	0	0.557
frr	mhp130	295358.mhp551	295358.mhp130	0.475	0	0	0	0	0	0	0	0.475
frr	rpsT	295358.mhp551	295358.mhp135	0.095	0	0	0	0.101	0.964	0	0	0.968
frr	rps10	295358.mhp551	295358.mhp186	0.082	0	0	0	0.261	0.964	0.479	0	0.985
frr	rpl3	295358.mhp551	295358.mhp187	0.080	0	0	0	0.188	0.964	0	0	0.970
frr	rpl4	295358.mhp551	295358.mhp188	0.082	0	0	0	0.206	0.964	0	0	0.971
frr	rpl23	295358.mhp551	295358.mhp189	0.066	0	0	0	0.098	0.964	0	0	0.967
frr	rpl2	295358.mhp551	295358.mhp190	0.067	0	0	0	0.109	0.964	0.479	0	0.982
frr	rps19	295358.mhp551	295358.mhp191	0.067	0	0	0	0.113	0.964	0	0	0.967
frr	rpl22	295358.mhp551	295358.mhp193	0.080	0	0	0	0.115	0.964	0.547	0	0.984
frr	rps3	295358.mhp551	295358.mhp194	0.080	0	0	0	0.076	0.964	0	0	0.966
frr	rpl16	295358.mhp551	295358.mhp195	0.081	0	0	0	0.111	0.964	0.547	0	0.984
frr	rpl29	295358.mhp551	295358.mhp196	0.066	0	0	0	0.109	0.964	0	0	0.967
frr	rps17	295358.mhp551	295358.mhp197	0.081	0	0	0	0.163	0.964	0	0	0.969
frr	rpl14	295358.mhp551	295358.mhp198	0.067	0	0	0	0.111	0.964	0	0	0.967
frr	rpl24	295358.mhp551	295358.mhp199	0.081	0	0	0	0.237	0.964	0	0	0.972
frr	rpl5	295358.mhp551	295358.mhp200	0.081	0	0	0	0.233	0.964	0	0	0.972
frr	rps14	295358.mhp551	295358.mhp201	0.066	0	0	0	0.107	0.964	0.479	0	0.982
frr	rps8	295358.mhp551	295358.mhp202	0.079	0	0	0	0.115	0.964	0	0	0.968
frr	rpl6	295358.mhp551	295358.mhp203	0.081	0	0	0	0.193	0.964	0	0	0.970
frr	rpl18	295358.mhp551	295358.mhp204	0.081	0	0	0	0.107	0.964	0	0	0.967
frr	rps5	295358.mhp551	295358.mhp205	0.081	0	0	0	0.234	0.964	0.479	0	0.985
frr	rpl15	295358.mhp551	295358.mhp206	0.081	0	0	0	0.179	0.964	0	0	0.970
frr	map	295358.mhp551	295358.mhp209	0.475	0	0	0	0.115	0	0	0	0.515
frr	rps13	295358.mhp551	295358.mhp211	0.082	0	0.234	0	0.253	0.964	0	0	0.978
frr	rps11	295358.mhp551	295358.mhp212	0.068	0	0	0	0.115	0.964	0.479	0	0.982
frr	rpl17	295358.mhp551	295358.mhp214	0.082	0	0	0	0.236	0.964	0.547	0	0.987
frr	mhp215	295358.mhp551	295358.mhp215	0.475	0	0	0	0.108	0.126	0	0	0.554
frr	rsgA	295358.mhp551	295358.mhp230	0.475	0	0	0	0	0	0	0	0.475
frr	tig	295358.mhp551	295358.mhp233	0.182	0	0	0	0.330	0	0	0	0.428
frr	mhp234	295358.mhp551	295358.mhp234	0.545	0	0	0	0.094	0	0	0	0.570
frr	rpl27	295358.mhp551	295358.mhp249	0.095	0	0	0	0.245	0.964	0	0	0.973
frr	rpl21	295358.mhp551	295358.mhp250	0.095	0	0.156	0	0.332	0.964	0.547	0	0.990
frr	infC	295358.mhp551	295358.mhp256	0.160	0	0.424	0	0.218	0	0	0	0.588
frr	rpl35	295358.mhp551	295358.mhp257	0.166	0	0	0	0.407	0.964	0	0	0.980
frr	rpl20	295358.mhp551	295358.mhp258	0.149	0	0	0	0.111	0.964	0.547	0	0.986
frr	rpl28	295358.mhp551	295358.mhp259	0.074	0	0	0	0.275	0.964	0	0	0.973
frr	rps15	295358.mhp551	295358.mhp276	0.475	0	0	0	0.115	0.964	0	0	0.981
frr	secA	295358.mhp551	295358.mhp295	0.122	0	0.580	0	0.137	0	0	0	0.653
frr	rps18	295358.mhp551	295358.mhp305	0.078	0	0	0	0.110	0.964	0	0	0.967
frr	rpsF	295358.mhp551	295358.mhp307	0.079	0	0	0	0.221	0.964	0.547	0	0.986
frr	proS	295358.mhp551	295358.mhp397	0.113	0	0	0	0.153	0.355	0	0	0.473
frr	rnc	295358.mhp551	295358.mhp412	0.300	0	0	0	0.077	0.438	0.547	0	0.813
frr	mhp434	295358.mhp551	295358.mhp434	0	0	0	0	0	0.434	0.547	0	0.732
frr	rpmE	295358.mhp551	295358.mhp455	0.475	0	0	0	0.233	0.952	0	0	0.978
frr	rplA	295358.mhp551	295358.mhp458	0.475	0	0.153	0	0.231	0.950	0	0	0.980
frr	rplK	295358.mhp551	295358.mhp459	0.475	0	0	0	0.232	0.706	0	0	0.871
frr	pgiB	295358.mhp551	295358.mhp548	0.495	0	0	0	0	0	0	0	0.495
frr	polC	295358.mhp551	295358.mhp549	0.866	0	0	0	0	0	0	0	0.866
frr	mhp602	295358.mhp551	295358.mhp602	0.475	0	0	0	0	0	0	0	0.475
frr	thrS	295358.mhp551	295358.mhp608	0.113	0	0	0	0.153	0.355	0	0	0.473
frr	nusA	295358.mhp551	295358.mhp603	0.475	0	0	0	0.075	0	0	0	0.493
frr	mhp553	295358.mhp551	295358.mhp553	0.587	0	0	0	0	0	0	0	0.587
frr	mhp611	295358.mhp551	295358.mhp611	0.560	0	0	0	0	0.125	0	0	0.598
frr	mhp554	295358.mhp551	295358.mhp554	0.647	0	0	0	0	0	0	0	0.647
frr	ksgA	295358.mhp551	295358.mhp673	0.475	0	0	0	0.072	0.126	0	0	0.536
frr	infB	295358.mhp551	295358.mhp601	0.475	0	0	0	0.115	0.124	0	0	0.557
frr	rplL	295358.mhp551	295358.mhp637	0.078	0	0	0	0.238	0.475	0	0	0.598
frr	rpmH	295358.mhp551	295358.mhp699	0.095	0	0	0	0.080	0.950	0	0	0.954
frr	rpmG	295358.mhp551	295358.mhp679	0.080	0	0	0	0.111	0.964	0	0	0.967
frr	pyrH	295358.mhp551	295358.mhp552	0.919	0	0.184	0	0.242	0	0	0	0.945
frr	rpsD	295358.mhp551	295358.mhp593	0.080	0	0	0	0.110	0.964	0	0	0.967
frr	rplI	295358.mhp551	295358.mhp665	0.065	0	0	0	0.283	0.950	0.547	0	0.982
frr	rplM	295358.mhp551	295358.mhp672	0.475	0	0	0	0.235	0.964	0	0	0.984
frr	rpsI	295358.mhp551	295358.mhp671	0.475	0	0	0	0.457	0.964	0.547	0	0.994
ftsH	mhp009	295358.mhp175	295358.mhp009	0.560	0	0	0	0.088	0.571	0	0	0.812
ftsH	obg	295358.mhp175	295358.mhp043	0.194	0	0.332	0	0.096	0	0	0	0.470
ftsH	fusA	295358.mhp175	295358.mhp083	0.128	0	0.252	0	0.104	0.125	0	0	0.420
ftsH	pyrG	295358.mhp175	295358.mhp100	0.475	0	0	0	0.099	0	0	0	0.506
ftsH	pheT	295358.mhp175	295358.mhp105	0.525	0	0	0	0.087	0	0	0	0.547
ftsH	hpt	295358.mhp175	295358.mhp117	0.523	0	0	0	0.073	0	0	0	0.538
ftsH	tmk	295358.mhp175	295358.mhp120	0.509	0	0	0	0.073	0	0	0	0.525
ftsH	recR	295358.mhp175	295358.mhp121	0.488	0	0	0	0	0	0	0	0.487
ftsH	serS	295358.mhp175	295358.mhp128	0.513	0	0	0	0.109	0	0	0	0.547
ftsH	secD	295358.mhp175	295358.mhp139	0.560	0	0	0	0.064	0.124	0	0	0.607
ftsH	mhp173	295358.mhp175	295358.mhp173	0.858	0	0	0	0.073	0	0	0	0.862
ftsH	lysS	295358.mhp175	295358.mhp174	0.919	0	0	0	0.075	0.124	0	0	0.928
ftsH	mhp666	295358.mhp175	295358.mhp666	0.419	0	0	0	0	0	0	0	0.418
ftsH	tdk	295358.mhp175	295358.mhp627	0.475	0	0	0	0	0	0	0	0.475
ftsH	ruvA	295358.mhp175	295358.mhp421	0.446	0	0	0	0	0	0	0	0.446
ftsH	mhp452	295358.mhp175	295358.mhp452	0.486	0	0	0	0	0	0	0	0.485
ftsH	ppa	295358.mhp175	295358.mhp622	0.475	0	0	0	0.073	0	0	0	0.492
ftsH	rplI	295358.mhp175	295358.mhp665	0.475	0	0	0	0.073	0	0	0	0.492
ftsH	mhp674	295358.mhp175	295358.mhp674	0.475	0	0	0	0.073	0	0	0	0.492
ftsH	rsmE	295358.mhp175	295358.mhp181	0.493	0	0	0	0	0	0	0	0.493
ftsH	mhp409	295358.mhp175	295358.mhp409	0.509	0	0	0	0	0	0	0	0.509
ftsH	mhp451	295358.mhp175	295358.mhp451	0.523	0	0	0	0	0	0	0	0.523
ftsH	pgiB	295358.mhp175	295358.mhp548	0.475	0	0	0	0.079	0	0	0	0.495
ftsH	infB	295358.mhp175	295358.mhp601	0.208	0	0.292	0	0.097	0.124	0	0	0.497
ftsH	mhp611	295358.mhp175	295358.mhp611	0.524	0	0	0	0.072	0	0	0	0.539
ftsH	greA	295358.mhp175	295358.mhp690	0.475	0.098	0	0	0	0	0	0	0.506
ftsH	mhp634	295358.mhp175	295358.mhp634	0.475	0	0	0	0	0	0	0	0.475
ftsH	mhp486	295358.mhp175	295358.mhp486	0.475	0	0	0	0	0	0	0	0.475
ftsH	mhp472	295358.mhp175	295358.mhp472	0.475	0	0	0	0.082	0.124	0	0	0.540
ftsH	nadD	295358.mhp175	295358.mhp474	0.560	0	0	0	0.073	0	0	0	0.574
ftsH	uvrA	295358.mhp175	295358.mhp288	0.475	0	0	0	0.072	0	0	0	0.491
ftsH	mhp178	295358.mhp175	295358.mhp178	0.643	0	0	0	0	0	0	0	0.643
ftsH	tpiA	295358.mhp175	295358.mhp277	0.475	0	0.212	0	0.072	0.127	0	0	0.619
ftsH	mhp179	295358.mhp175	295358.mhp179	0.664	0	0	0	0	0	0	0	0.664
ftsH	ruvB	295358.mhp175	295358.mhp422	0.475	0	0	0	0	0	0	0	0.475
ftsH	mhp234	295358.mhp175	295358.mhp234	0.560	0	0	0	0.115	0	0	0	0.593
ftsH	mhp655	295358.mhp175	295358.mhp655	0.475	0	0	0	0.105	0	0	0	0.510
ftsH	mhp697	295358.mhp175	295358.mhp697	0.079	0	0.159	0	0.074	0.304	0	0	0.433
ftsH	mhp586	295358.mhp175	295358.mhp586	0.395	0	0	0	0.093	0.128	0	0	0.479
ftsH	lon	295358.mhp175	295358.mhp541	0.108	0	0	0	0.275	0.269	0	0	0.485
ftsH	pth	295358.mhp175	295358.mhp177	0.856	0	0	0	0.079	0	0	0	0.861
ftsH	tilS	295358.mhp175	295358.mhp176	0.856	0	0	0	0.072	0	0	0	0.860
ftsY	gidA	295358.mhp008	295358.mhp003	0.412	0	0	0	0.115	0	0	0	0.457
ftsY	rlmH	295358.mhp008	295358.mhp004	0.423	0	0	0	0.085	0	0	0	0.450
ftsY	mhp005	295358.mhp008	295358.mhp005	0.480	0	0	0	0	0	0	0	0.480
ftsY	mhp006	295358.mhp008	295358.mhp006	0.480	0	0	0	0	0	0	0	0.480
ftsY	mhp013	295358.mhp008	295358.mhp013	0.408	0	0	0	0	0	0	0	0.408
ftsY	mhp653	295358.mhp008	295358.mhp653	0.475	0	0	0	0	0	0	0	0.475
ftsY	pta	295358.mhp008	295358.mhp506	0.475	0	0	0	0	0	0	0	0.475
ftsY	mhp654	295358.mhp008	295358.mhp654	0.475	0	0	0	0	0	0	0	0.475
ftsY	mhp130	295358.mhp008	295358.mhp130	0.475	0	0	0	0	0	0	0	0.475
ftsY	metK	295358.mhp008	295358.mhp450	0.475	0	0	0	0	0	0	0	0.475
ftsY	tmk	295358.mhp008	295358.mhp120	0.475	0	0	0	0	0	0	0	0.475
ftsY	mhp294	295358.mhp008	295358.mhp294	0.475	0	0	0	0.073	0	0	0	0.492
ftsY	topA	295358.mhp008	295358.mhp097	0.475	0	0	0	0.070	0	0	0	0.490
ftsY	hrcA	295358.mhp008	295358.mhp010	0.409	0	0	0	0	0	0	0	0.409
ftsY	mhp228	295358.mhp008	295358.mhp228	0.475	0	0	0	0.072	0	0	0	0.491
ftsY	trmD	295358.mhp008	295358.mhp095	0.475	0.110	0	0	0	0	0	0	0.512
ftsY	uvrB	295358.mhp008	295358.mhp669	0.475	0	0	0	0	0	0	0	0.475
ftsY	tsf	295358.mhp008	295358.mhp059	0.475	0	0	0	0	0.128	0	0	0.522
ftsY	mhp067	295358.mhp008	295358.mhp067	0.530	0	0	0	0.072	0	0	0	0.545
ftsY	mhp611	295358.mhp008	295358.mhp611	0.532	0	0	0	0.072	0	0	0	0.547
ftsY	gltX	295358.mhp008	295358.mhp241	0.149	0	0	0	0.095	0.460	0	0	0.547
ftsY	rps5	295358.mhp008	295358.mhp205	0.115	0	0.460	0	0.112	0	0	0	0.538
ftsY	trmU	295358.mhp008	295358.mhp433	0.475	0	0	0	0.191	0	0	0	0.557
ftsY	mhp220	295358.mhp008	295358.mhp220	0.475	0	0	0	0.110	0	0	0	0.512
ftsY	mhp234	295358.mhp008	295358.mhp234	0.560	0	0	0	0	0	0	0	0.560
ftsY	leuS	295358.mhp008	295358.mhp667	0.475	0	0	0	0.127	0	0	0	0.522
ftsY	nadD	295358.mhp008	295358.mhp474	0.560	0	0	0	0.076	0	0	0	0.576
ftsY	rpsP	295358.mhp008	295358.mhp094	0.475	0	0	0	0.072	0	0	0	0.491
ftsY	p115	295358.mhp008	295358.mhp678	0.523	0	0	0	0.111	0.127	0	0	0.597
ftsY	rpmH	295358.mhp008	295358.mhp699	0.079	0	0	0	0	0.608	0	0	0.623
ftsY	polA	295358.mhp008	295358.mhp598	0.497	0	0	0	0.102	0	0	0	0.528
ftsY	rplM	295358.mhp008	295358.mhp672	0.095	0	0	0	0	0.608	0	0	0.630
ftsY	rpl27	295358.mhp008	295358.mhp249	0.128	0	0	0	0.074	0.608	0	0	0.655
ftsY	rpl21	295358.mhp008	295358.mhp250	0.129	0	0	0	0	0.608	0	0	0.643
ftsY	rpl20	295358.mhp008	295358.mhp258	0.204	0	0	0	0	0.608	0	0	0.674
ftsY	rpl16	295358.mhp008	295358.mhp195	0.125	0	0	0	0.102	0.608	0	0	0.665
ftsY	rpl35	295358.mhp008	295358.mhp257	0.200	0	0	0	0	0.608	0	0	0.672
ftsY	rplI	295358.mhp008	295358.mhp665	0.068	0	0	0	0	0.614	0	0	0.624
ftsY	mhp009	295358.mhp008	295358.mhp009	0.747	0	0	0	0.089	0	0	0	0.759
ftsY	rpl6	295358.mhp008	295358.mhp203	0.096	0	0	0	0.109	0.716	0	0	0.751
ftsY	rpl5	295358.mhp008	295358.mhp200	0.095	0	0	0	0.096	0.716	0	0	0.747
ftsY	rpl24	295358.mhp008	295358.mhp199	0.095	0	0	0	0.094	0.716	0	0	0.746
ftsY	rplK	295358.mhp008	295358.mhp459	0.168	0	0	0	0	0.716	0	0	0.753
