#node1	node2	combined_score
asnO	cwlJ	0.521
asnO	cotJB	0.665
asnO	cotJC	0.625
asnO	spoVR	0.508
asnO	dacF	0.413
asnO	spoVAD	0.446
asnO	gerQ	0.502
asnO	usd	0.502
asnO	spoVFA	0.553
asnO	spoVFB	0.572
asnO	spoIIID	0.594
cotB	gerPF	0.51
cotB	yitA	0.62
cotB	cotZ	0.716
cotB	cotY	0.733
cotB	cotX	0.647
cotB	cotW	0.682
cotB	cotV	0.701
cotB	spoVIF	0.622
cotB	cotT	0.687
cotB	ylbD	0.531
cotB	spoVFA	0.726
cotB	spoVFB	0.731
cotB	yqfQ	0.524
cotB	ytlA	0.532
cotB	ytcA	0.729
cotB	ywrJ	0.905
cotB	spsB	0.591
cotB	cotF	0.731
cotE	yaaC	0.416
cotE	fin	0.764
cotE	yabP	0.587
cotE	yabQ	0.671
cotE	spoIIE	0.746
cotE	yabS	0.573
cotE	yabT	0.448
cotE	gerD	0.775
cotE	cwlJ	0.829
cotE	ydcC	0.78
cotE	cotJA	0.823
cotE	cotJB	0.699
cotE	cotJC	0.727
cotE	yhbB	0.772
cotE	prkA	0.766
cotE	yhbH	0.594
cotE	spoVR	0.675
cotE	yheD	0.757
cotE	cotO	0.69
cotE	cotY	0.513
cotE	spoVIF	0.652
cotE	ylaK	0.501
cotE	ylbD	0.659
cotE	gerR	0.835
cotE	spoVFA	0.588
cotE	spoVFB	0.407
cotE	ymfJ	0.764
cotE	ytrH	0.406
cotE	sigF	0.411
cotE	yqgE	0.437
cotE	spoVAF	0.418
cotE	yqfD	0.473
cotE	glnH	0.501
cotE	spoIIIAG	0.442
cotE	spoIIIAF	0.552
cotE	ypeB	0.526
cotE	yrzR	0.606
cotE	yqhR	0.612
cotE	usd	0.638
cotE	yrzE	0.65
cotE	yqfX	0.678
cotE	ytfJ	0.605
cotE	yqfQ	0.602
cotE	gerM	0.712
cotE	spoIIP	0.706
cotE	spoIVFA	0.708
cotE	ysxE	0.674
cotE	spoIIID	0.79
cotE	spoIIIAH	0.874
cotE	spoIIQ	0.869
cotE	gerQ	0.938
cotE	spoIVA	0.788
cotE	spoVID	0.946
cotF	gerPF	0.634
cotF	gerPE	0.637
cotF	yitA	0.73
cotF	cotZ	0.73
cotF	cotY	0.733
cotF	cotX	0.658
cotF	cotW	0.642
cotF	cotV	0.629
cotF	spoVIF	0.605
cotF	cotT	0.739
cotF	spoVFA	0.733
cotF	spoVFB	0.724
cotF	yqfQ	0.625
cotF	ytlA	0.731
cotF	ytcA	0.731
cotF	putM	0.502
cotF	spsB	0.502
cotJA	gerD	0.506
cotJA	spoIIIAF	0.42
cotJA	glnQ	0.499
cotJA	yodS	0.502
cotJA	cotO	0.517
cotJA	dacF	0.522
cotJA	spoVR	0.522
cotJA	ylaK	0.523
cotJA	glnH	0.54
cotJA	gerR	0.569
cotJA	ytfJ	0.611
cotJA	spoIVA	0.502
cotJA	prkA	0.682
cotJA	spoIIID	0.685
cotJA	usd	0.705
cotJA	yhbB	0.571
cotJA	spoVID	0.658
cotJA	gerQ	0.729
cotJA	ysxE	0.82
cotJA	yheD	0.8
cotJA	cotJC	0.99
cotJA	cotJB	0.991
cotJB	spoIVB	0.403
cotJB	spoIIIAE	0.412
cotJB	spoIIIAG	0.414
cotJB	spoVAA	0.42
cotJB	gpr	0.427
cotJB	tepA	0.429
cotJB	spoVAEB	0.429
cotJB	spoVAB	0.495
cotJB	dacF	0.505
cotJB	ylaK	0.508
cotJB	ylmC	0.508
cotJB	spoIIAB	0.494
cotJB	glnH	0.524
cotJB	spoVAC	0.52
cotJB	spoIIGA	0.476
cotJB	spoVAD	0.562
cotJB	yhbB	0.409
cotJB	spoVR	0.619
cotJB	prkA	0.624
cotJB	spoVID	0.51
cotJB	ysxE	0.602
cotJB	usd	0.709
cotJB	yheD	0.619
cotJB	spoIVA	0.557
cotJB	spoIIID	0.796
cotJB	gerQ	0.73
cotJB	cotJC	0.995
cotJC	spoVAEB	0.483
cotJC	sigE	0.413
cotJC	cotO	0.51
cotJC	ylaK	0.514
cotJC	ytfJ	0.523
cotJC	yodS	0.528
cotJC	spoIIAB	0.54
cotJC	spoVAC	0.589
cotJC	glnH	0.599
cotJC	dacF	0.612
cotJC	prkA	0.62
cotJC	spoVAD	0.62
cotJC	spoVR	0.618
cotJC	usd	0.729
cotJC	spoVID	0.502
cotJC	yheD	0.619
cotJC	ysxE	0.643
cotJC	spoIIID	0.783
cotJC	spoIVA	0.659
cotJC	gerQ	0.73
cotO	prkA	0.621
cotO	spoVR	0.514
cotO	ysxE	0.502
cotO	spoIIIAH	0.502
cotO	ylaK	0.531
cotO	spoIIQ	0.539
cotO	gerR	0.583
cotO	spoVID	0.624
cotO	gerQ	0.625
cotO	spoIVA	0.687
cotT	gerPF	0.642
cotT	gerPE	0.619
cotT	yitA	0.623
cotT	cotZ	0.729
cotT	cotY	0.737
cotT	cotX	0.715
cotT	cotW	0.715
cotT	cotV	0.731
cotT	spoVIF	0.636
cotT	ylbD	0.402
cotT	spsB	0.502
cotT	yqfX	0.502
cotT	ytlA	0.605
cotT	yqfQ	0.623
cotT	spoVFB	0.632
cotT	ytcA	0.718
cotT	spoVFA	0.731
cotV	gerPF	0.502
cotV	gerPE	0.499
cotV	yitA	0.503
cotV	cotZ	0.786
cotV	cotY	0.93
cotV	cotX	0.962
cotV	cotW	0.985
cotV	spsE	0.501
cotV	yqfQ	0.605
cotV	ytcA	0.627
cotV	spoVFB	0.673
cotV	spsB	0.621
cotV	spoVFA	0.731
cotV	spoVIF	0.83
cotW	gerPF	0.501
cotW	gerPE	0.501
cotW	yitA	0.519
cotW	cotZ	0.792
cotW	cotY	0.937
cotW	cotX	0.973
cotW	spsE	0.467
cotW	yqfQ	0.601
cotW	ytcA	0.63
cotW	spsB	0.623
cotW	spoVFB	0.702
cotW	spoVFA	0.73
cotW	spoVIF	0.798
cotX	gerPF	0.508
cotX	yitA	0.525
cotX	cotZ	0.909
cotX	cotY	0.973
cotX	spsE	0.501
cotX	ytcA	0.63
cotX	yqfQ	0.609
cotX	spoVFB	0.625
cotX	spoVFA	0.727
cotX	spsB	0.621
cotX	spoVIF	0.924
cotY	gerPF	0.526
cotY	gerPE	0.502
cotY	yitA	0.62
cotY	cotZ	0.98
cotY	spsE	0.408
cotY	yqfX	0.501
cotY	yqfQ	0.619
cotY	spoVFB	0.684
cotY	ytcA	0.724
cotY	spoVFA	0.733
cotY	spsB	0.611
cotY	spoVIF	0.771
cotY	gerQ	0.532
cotZ	gerPF	0.533
cotZ	yitA	0.618
cotZ	yqfX	0.499
cotZ	yqfQ	0.525
cotZ	ytcA	0.642
cotZ	spsB	0.511
cotZ	spoVFB	0.694
cotZ	spoVFA	0.716
cotZ	spoVIF	0.77
cwlJ	fin	0.673
cwlJ	yabP	0.671
cwlJ	gerD	0.601
cwlJ	yfkR	0.433
cwlJ	yndD	0.439
cwlJ	ytfJ	0.428
